model,batch,seq,mode,config,prec,freq,measured_time,measured_energy,temp,gee_bro_time,gee_bro_energy,measured_freq,gee_bro_time_abs_pct_err,gee_bro_energy_abs_pct_err
gpt2model,8,128,prefill,gpt2,bf16,1410,9.905381416874365,1.3804120673202456,65.61711366538952,7.223457928271152,1.0411542009778048,1410.0,27.075418661157336,24.576564808002033
optmodel,2,128,prefill,opt-1p3b,bf16,510,20.976962337481407,1.880677899097413,54.69398207426378,26.629806281642114,2.224523750418495,509.9999999999999,26.947867156438893,18.283080344917263
optmodel,2,128,prefill,opt-1p3b,bf16,600,18.573345680985657,1.802881794325612,58.06679389312978,23.637866002071316,2.1048634881434447,599.9999999999999,27.26767922200699,16.7499441598606
optmodel,2,128,prefill,opt-1p3b,bf16,690,16.815733800296325,1.741279822440762,60.35538752362948,21.43619595190081,2.022386987226416,689.9999999999998,27.477017693530946,16.14370999783508
optmodel,2,128,prefill,opt-1p3b,bf16,780,17.09941283592273,1.7654448370055034,61.46995884773664,19.742555277524577,1.9578416071200184,779.9999999999998,15.457504108264397,10.897920234135036
optmodel,2,128,prefill,opt-1p3b,bf16,870,13.661531150512946,1.5966786160726434,62.78298397040691,18.47202000071673,1.918296286844864,869.9999999999998,35.21193047254563,20.142918401657116
optmodel,2,128,prefill,opt-1p3b,bf16,960,13.957664961426396,1.62545379103356,62.35963983050847,17.45122637640167,1.8859664913113765,960.0000000000005,25.02969819543693,16.027075129103917
optmodel,2,128,prefill,opt-1p3b,bf16,1050,13.300215482419732,1.6496844687035446,62.96159899276048,16.604780501907214,1.9017734681150515,1050.0000000000005,24.845950983692457,15.281043387019269
optmodel,2,128,prefill,opt-1p3b,bf16,1140,13.26495738611185,1.7840589556709128,63.37988281249999,15.886872067534595,1.977755682009964,1140.0000000000002,19.765722611124538,10.8570810243325
optmodel,2,128,prefill,opt-1p3b,bf16,1230,12.87231449263098,1.931991417828728,64.6450016496206,15.27857094394506,2.127144742568662,1230.0000000000005,18.693269595701604,10.101148635497427
optmodel,2,128,prefill,opt-1p3b,bf16,1320,13.105037035765472,2.221418050584568,66.40500493908463,14.754240999060867,2.354824966953628,1320.0,12.584504406927566,6.005484484739554
optmodel,2,128,prefill,opt-1p3b,bf16,1410,12.980680971374763,2.656966164842162,69.34216552175334,14.30295624362029,2.632305216995344,1409.9999999999998,10.186486172500754,0.9281619078609088
optmodel,8,2048,prefill,opt-1p3b,bf16,510,1718.4937000274658,215.7974837281955,64.36997487437186,1471.05117933403,194.3293279074981,509.9999999999999,14.398802898694429,9.948288297808547
optmodel,8,2048,prefill,opt-1p3b,bf16,600,1536.627451578776,206.16602783947903,64.48999046711154,1305.77407479145,183.8760799523928,599.9999999999998,15.023379710556418,10.811649290949722
optmodel,8,2048,prefill,opt-1p3b,bf16,690,1375.4713038603466,198.49686253112557,65.52407579993788,1184.15211143378,176.6711206938759,689.9999999999998,13.90935542527258,10.995509731962262
optmodel,8,2048,prefill,opt-1p3b,bf16,780,1244.981784086961,192.78836775056212,66.38650693568728,1090.5940853235124,171.03258330660347,779.9999999999999,12.400799813844076,11.284801410895918
optmodel,8,2048,prefill,opt-1p3b,bf16,870,1140.320863042559,188.1910415938837,67.1727681438664,1020.4087299526724,167.57799420207635,869.9999999999998,10.515648443889893,10.953256444741038
optmodel,8,2048,prefill,opt-1p3b,bf16,960,1072.6147174835205,184.33102805499237,67.75207138304653,964.0192974114184,164.75373690375463,960.0000000000002,10.124364163758601,10.620724767724484
optmodel,8,2048,prefill,opt-1p3b,bf16,1050,1006.735235452652,190.733810135521,69.2689369828135,917.260969966285,166.13459839283948,1050.0000000000005,8.887566694349113,12.897142737935754
optmodel,8,2048,prefill,opt-1p3b,bf16,1140,953.4998734792074,204.68878200472483,71.36644951140065,877.6031505338649,172.7722315295252,1140.0000000000002,7.959804196764537,15.59272089198465
optmodel,8,2048,prefill,opt-1p3b,bf16,1230,921.7435700552804,220.0701272106988,73.82659140796487,844.0001240686111,185.82251958765127,1210.2398871119474,8.434389835993844,15.562133787589575
optmodel,8,2048,prefill,opt-1p3b,bf16,1320,919.9883256639752,219.17571174421312,74.36230499840813,815.0357307258865,205.7121453892347,1217.7602674307543,11.40803551635746,6.142818585067919
optmodel,8,2048,prefill,opt-1p3b,bf16,1410,922.4459784371512,221.0572508443492,74.53047619047618,790.1064103739026,229.95218799973364,1219.6761904761906,14.346592771477434,4.0238160573378075
qwen2model,1,128,prefill,qwen2-1p5b,bf16,510,34.664620966665844,2.3921179767971106,60.06284418529316,38.303459987815046,2.3587936339629905,509.9999999999998,10.497270472532726,1.3930894361129809
