model,batch,seq,mode,config,prec,freq,measured_time,measured_energy,temp,gee_time,gee_energy,gee_attack_mean_time,gee_attack_mean_energy,gee_attack_bro_time,gee_attack_bro_energy,measured_freq,gee_time_abs_pct_err,gee_energy_abs_pct_err,gee_attack_mean_time_abs_pct_err,gee_attack_mean_energy_abs_pct_err,gee_attack_bro_time_abs_pct_err,gee_attack_bro_energy_abs_pct_err
gpt2model,8,128,prefill,gpt2,bf16,510,9.99740178134584,0.8326613051828837,62.94133254716981,14.71012714903271,0.9943504021292726,12.62461851751628,1.321380874774088,13.594607233618028,1.0182568907701408,509.9999999999999,47.13950155009623,19.418351247975416,26.278995219263535,58.69368091794096,35.981403278041874,22.289445232055467
gpt2model,8,128,prefill,gpt2,bf16,600,9.932374606439302,0.8085945058117996,58.960742134982496,12.78520240529874,0.9074613653427336,11.154562824739832,1.2514789644148094,11.990128671341644,0.9539165223980206,599.9999999999999,28.72251512754975,12.227001150802435,12.305095878161586,54.77213305553813,20.717644535560215,17.972174624204623
gpt2model,8,128,prefill,gpt2,bf16,690,8.014802753985714,0.7213017301700156,58.77965003240439,11.362092278404347,0.8467213928621868,10.069809660778924,1.2035267197254989,10.805934043341209,0.9093436881445544,689.9999999999998,41.76384157119831,17.38796088325047,25.640143243341416,66.85482224502908,34.82470342726128,26.06980547935411
gpt2model,8,128,prefill,gpt2,bf16,780,9.959501599123378,0.8186892636501029,58.12997213073221,10.332361895849273,0.8033984111415817,9.246191621622822,1.1666987217645393,9.907480051288417,0.8752649773756384,779.9999999999999,3.7437646152766657,1.8677235903091365,7.162105155576665,42.5081253127525,0.522330834703015,6.910523471786386
gpt2model,8,128,prefill,gpt2,bf16,870,7.898092616268278,0.7254466314199762,58.69250078443677,9.51644564889054,0.7742357756625634,8.62237451626375,1.1439460402701789,9.228531895975612,0.8540054509461482,869.9999999999998,20.490428654746616,6.725394002738448,9.170339412121049,57.688517766088374,16.84507063093855,17.721333859464377
gpt2model,8,128,prefill,gpt2,bf16,960,7.9347347369993235,0.7328550885462993,59.309042729380586,8.861668711011966,0.7502990608847375,8.123196494493174,1.1254485913271064,8.685541549527787,0.8367332764270395,960.0000000000002,11.681978096764713,2.3802758022790402,2.3751488076225296,53.57041370341857,9.462279930134077,14.174451334819043
gpt2model,8,128,prefill,gpt2,bf16,1050,8.000260548816549,0.7602224967110507,59.88987341772152,8.331521680218385,0.7453574439892794,7.717162248513882,1.136443504029831,8.244392264344329,0.8410583636629841,1050.0000000000002,4.140629288015362,1.955355542105364,3.538613506088172,49.488275991097964,3.051547059475382,10.633185324250931
gpt2model,8,128,prefill,gpt2,bf16,1140,7.893670793709894,0.824756335979318,61.13350958360873,7.883230478896639,0.7653195240624369,7.375991603328054,1.1841230381768637,7.874041925324247,0.8726040594901774,1140.0000000000002,0.132261847321716,7.206590519405427,6.558155310889773,43.57246940950538,0.2486659109382819,5.8014375183968605
gpt2model,8,128,prefill,gpt2,bf16,1230,7.801352736945143,0.8989813862266784,62.51184210526316,7.5021896376295425,0.8101578195527803,7.089058299422302,1.2764115413950337,7.562551704364296,0.93555305849671,1230.0000000000002,3.8347592962800277,9.880467831121614,9.130396503539739,41.9842013361983,3.06102083360426,4.068123415050331
gpt2model,8,128,prefill,gpt2,bf16,1320,7.820931748498844,1.020013576346168,64.04382470119522,7.172386080451398,0.8863035767983278,6.842510380551544,1.416543616521646,7.294796691375709,1.0335235829084828,1320.0,8.292434826220399,13.108649007085587,12.510291604770737,38.87497670334001,6.727268234045406,1.3244928180965558
