dataset,feature,module,count,mean,std,p05,p50,p95,max
FP32 GEMM,a_math_work_last_wave_lazy,math,5056,0.28658123789565704,0.23631037203141358,0.0759734093067426,0.0770341839191141,0.6349206349206349,0.9884169884169884
FP32 GEMM,a_math_work_last_wave,math,5056,0.5717369377603987,0.20667678270522213,0.208786184094826,0.6072245084590764,0.951808951808952,0.9884169884169886
FP32 GEMM,a_dram_end_full_capacity,dram,5056,0.7362810159460179,0.2283872182113107,0.3128900221431926,0.904830475193088,0.9357816576359624,0.9357816576359624
FP32 GEMM,a_dram_end_last_wave,dram,5056,0.4785546189408206,0.24362993344852532,0.15105423358116496,0.4766431564959624,0.9414496264889964,0.9414496264889964
FP32 GEMM,a_l2_end_full_capacity,l2,5056,0.2594041913886076,0.11332077885771771,0.1538149606299212,0.2558378626154148,0.5247842665061208,0.529047815191514
FP32 GEMM,a_l2_end_last_wave,l2,5056,0.43426034101335953,0.17647942216137907,0.1754680265718312,0.4444444444444445,0.7222222222222222,0.7297297297297297
FP32 GEMM,a_smem_end_full_capacity,smem,5056,0.2637189840539709,0.228387218211311,0.0642183423640377,0.0951695248069119,0.6871099778568074,0.6874084282337706
FP32 GEMM,a_smem_end_last_wave_busy,smem,5056,0.40315074472068163,0.18987773270635572,0.0585503735110034,0.5,0.6871099778568074,0.6875348394783873
FP32 GEMM,a_smem_end_last_wave_lazy,smem,5056,0.08966118167082666,0.10043216717861878,0.0188802083333333,0.0296432587140958,0.3435549889284037,0.3437674197391936
FP32 GEMM,a_smem_end_last_wave,smem,5056,0.21929960123431144,0.11650899118125108,0.0585503735110034,0.2279202279202279,0.4071762831744043,0.5836139169472503
FP32 GEMM,a_math_end_full_capacity,math,5056,0.0,0.0,0.0,0.0,0.0,0.0
FP32 GEMM,a_math_end_last_wave,math,5056,0.0,0.0,0.0,0.0,0.0,0.0
BF16 GEMM,a_dram_start_full_capacity,dram,3536,0.9404045012257198,0.16885408634339136,0.48112081422378583,1.0,1.0,1.0
BF16 GEMM,a_dram_start_last_wave,dram,3536,0.9503169625756536,0.15488936213930332,0.515790602578953,1.0,1.0,1.0
BF16 GEMM,a_l2_start_full_capacity,l2,3536,0.5241280030456238,0.2539347784560594,0.2826171875,0.42116429568964087,1.0,1.0
BF16 GEMM,a_l2_start_last_wave,l2,3536,0.5514265261205763,0.21857466506613124,0.28479036982790185,0.5607977696761741,1.0,1.0
BF16 GEMM,a_smem_start_full_capacity,smem,3536,0.0,0.0,0.0,0.0,0.0,0.0
BF16 GEMM,a_smem_start_last_wave,smem,3536,0.0,0.0,0.0,0.0,0.0,0.0
BF16 GEMM,a_math_start_full_capacity,math,3536,0.0,0.0,0.0,0.0,0.0,0.0
BF16 GEMM,a_math_start_last_wave,math,3536,0.0,0.0,0.0,0.0,0.0,0.0
BF16 GEMM,a_dram_work_full_capacity,dram,3536,1.1248962775321252,1.150759901311633,0.2973115230107471,0.8911434909599005,3.8587422252937107,9.516326530612243
BF16 GEMM,a_dram_work_last_wave,dram,3536,1.2720719680337034,1.6308040425885721,0.2343063239931325,0.803091722471529,4.857291666666667,10.027956989247311
BF16 GEMM,a_l2_work_full_capacity,l2,3536,0.5781376515080842,0.6162951682845891,0.22359427720885156,0.3789886660854403,1.62,5.336734693877551
BF16 GEMM,a_l2_work_last_wave,l2,3536,0.6927590914448691,0.9081171949294385,0.19839451330719293,0.3620379343762979,2.723958333333333,5.623655913978495
BF16 GEMM,a_smem_work_full_capacity,smem,3536,0.3868728810577375,0.20306344991222164,0.1413361984762648,0.3333333333333333,0.8,0.978902953586498
BF16 GEMM,a_smem_work_last_wave_busy,smem,3536,0.47311627541060136,0.2163841237751549,0.1653430840427355,0.4444444444444444,0.8,0.978902953586498
BF16 GEMM,a_smem_work_last_wave_lazy,smem,3536,0.24806483922467717,0.1668623892283253,0.05107084944782947,0.19475384655094308,0.6206896551724138,0.978902953586498
BF16 GEMM,a_smem_work_last_wave,smem,3536,0.3482232864113177,0.16541344396598157,0.1336277654635527,0.3206018518518518,0.6538952745849298,0.978902953586498
BF16 GEMM,a_math_work_full_capacity,math,3536,0.42938109042656863,0.2346873757448165,0.08467838044996025,0.4,0.8,0.8888888888888888
BF16 GEMM,a_math_work_last_wave_busy,math,3536,0.5310634458984549,0.2423515706132229,0.1023017902813299,0.5488288021334914,0.8421052631578947,0.898974456684182
BF16 GEMM,a_math_work_last_wave_lazy,math,3536,0.25218439037764984,0.1607872069769645,0.045523451748959304,0.2106344573435192,0.5721583400721879,0.8062015503875969
