dataset,activity_intensity,activity_intensity_norm
FP32 GEMM,10.181360172874635,0.25452926729708686
FP32 GEMM,10.18329789056153,0.25457770933770807
FP32 GEMM,10.177684238895589,0.254437370657892
FP32 GEMM,10.177572166209849,0.25443456889289195
FP32 GEMM,9.859510165147483,0.24648316684926977
FP32 GEMM,9.856936524083386,0.24641882702009096
FP32 GEMM,10.183211339340481,0.2545755455974511
FP32 GEMM,10.184496996079234,0.25460768641774956
FP32 GEMM,10.182048191153681,0.25454646743395254
FP32 GEMM,10.18209876408631,0.2545477317337385
FP32 GEMM,10.16620188731495,0.25415031721070586
FP32 GEMM,10.166731458606183,0.254163556246596
FP32 GEMM,10.18203525251788,0.25454614397407743
FP32 GEMM,10.17967550979238,0.25448715150384427
FP32 GEMM,10.178652949533122,0.25446158797312374
FP32 GEMM,10.180005084802861,0.25449539072576677
FP32 GEMM,9.778878540440635,0.24446741374662578
FP32 GEMM,9.7788796445047,0.24446744134771373
FP32 GEMM,9.780503262225379,0.24450803103531912
FP32 GEMM,9.781050197697137,0.24452170416764346
FP32 GEMM,9.780473920319377,0.24450729750132083
FP32 GEMM,9.780478336575639,0.24450740790567263
FP32 GEMM,9.781014463593483,0.2445208108316779
FP32 GEMM,9.781019838326506,0.2445209451975028
FP32 GEMM,9.779940194922677,0.24449395461472676
FP32 GEMM,9.781014463593483,0.2445208108316779
FP32 GEMM,10.173155172168343,0.25432414609692455
FP32 GEMM,10.173155172168343,0.25432414609692455
FP32 GEMM,10.170639277660694,0.25426124990478954
FP32 GEMM,10.168225037730256,0.2542008950297886
FP32 GEMM,10.173155172168343,0.25432414609692455
FP32 GEMM,10.173155172168343,0.25432414609692455
FP32 GEMM,10.169322216523806,0.2542283239891491
FP32 GEMM,10.173155172168343,0.25432414609692455
FP32 GEMM,10.173155172168343,0.25432414609692455
FP32 GEMM,10.173155172168343,0.25432414609692455
FP32 GEMM,10.210416437178926,0.25525566038584774
FP32 GEMM,10.215115815184145,0.25537314264952476
